------------------------------------------------------------

[10:00:23:000]	recv [D1] (8) C011021509342200
[10:00:23:094]	send [EA] (59) 000000FFFF110215093705010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[10:00:23:920]	recv [EA] (28) 110215093705010A0000000C84999999992017022110002600000000
[10:00:24:591]	send [EA] (32) 000000FFFF1102150A001A010A0000000F000000000099989999999912340000
[10:00:25:246]	recv [EA] (34) 1102150A001A010A0000001200000007E10215093706000000000000077800000000
[10:00:25:808]	send [EA] (110) 000000FFFF1102150A001B010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109435453544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:00:26:978]	send [EA] (110) 000000FFFF1102150A001E010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109435453544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:00:30:051]	recv [EA] (29) 1102150A001E010A0000000D3000000000000099989999999900000000
[10:00:30:472]	send [EA] (110) 000000FFFF1102150A0022010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109464153544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:00:33:405]	recv [EA] (29) 1102150A0022010A0000000D3000000000000099989999999900000000
[10:00:33:811]	send [EA] (110) 000000FFFF1102150A0025010A0000005D3000000000999899999999123400000000000149F004999999990000011702210949304E45545253543A72657365745F636F756E743D32352C6C6173745F6572726F723D2D31000024DF0100F800E07F01000000010000001D00000038
[10:00:36:790]	recv [EA] (29) 1102150A0025010A0000000D3000000000000099989999999900000000
[10:00:37:212]	send [EA] (110) 000000FFFF1102150A0028010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109500853544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:00:40:254]	recv [EA] (29) 1102150A0028010A0000000D3000000000000099989999999900000000
[10:00:40:690]	send [EA] (110) 000000FFFF1102150A002C010A0000005D3000000000999899999999123400000000000149F004999999990000011702210950164E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[10:00:43:654]	recv [EA] (29) 1102150A002C010A0000000D3000000000000099989999999900000000
[10:00:44:076]	send [EA] (110) 000000FFFF1102150A002F010A0000005D3000000000999899999999123400000000000149F0049999999900000017022109522353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[10:00:47:165]	recv [EA] (29) 1102150A002F010A0000000D3000000000000099989999999900000000
[10:00:47:601]	send [EA] (110) 000000FFFF1102150A0033010A0000005D3000000000999899999999123400000000000149F004999999990000011702210952314E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[10:00:50:643]	recv [EA] (29) 1102150A0033010A0000000D3000000000000099989999999900000000
[10:00:51:065]	recv [D1] (8) A01102150A003700
[10:00:54:809]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200216FFFF9000
[10:01:00:378]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200216FFFF9000
[10:01:00:721]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[10:01:01:111]	CPUCard cmd: (5)805C000204 -> [9000](6)000013889000
[10:01:01:298]	CPUCard cmd: (5)0084000004 -> [9000](6)D21804169000
[10:01:02:125]	send [EA] (54) 000000FFFF1102150A0103010A00000025320000000099989999999912340000000190000001909090980400018820200216D2180416
[10:01:02:546]	send [EA] (54) 000000FFFF1102150A0104010A00000025320000000099989999999912340000000190000001909090980400018820200216D2180416
[10:01:03:498]	recv [EA] (53) 1102150A0103010A000000253200000000000099989999999900019000000190909098000420200221D21804168E1F43C200000000
[10:01:04:059]	CPUCard cmd: (13)04D6951808202002218E1F43C2 -> [9000](2)9000
[10:01:04:278]	recv [EA] (53) 1102150A0104010A000000253200000000000099989999999900019000000190909098000420200221D21804168E1F43C200000000
[10:01:04:652]	send [EA] (57) 000000FFFF1102150A0106010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[10:01:05:448]	recv [EA] (64) 1102150A0106010A0000003033000000000000999899999999000190000001909090980000006400000064148413177910937920170111184939000100000000
[10:01:06:197]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[10:01:06:665]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[10:01:06:867]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)0000138800010100D6347BCEABA268249000
[10:01:07:195]	send [EA] (85) 000000FFFF1102150A0108010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF8710400000100010000006400001388D6347BCEABA26824881484131779109379
[10:01:08:147]	recv [EA] (19) 1102150A0108010A0000000334002000000000
[10:01:08:646]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[10:01:18:380]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[10:01:18:739]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[10:01:19:145]	CPUCard cmd: (5)805C000204 -> [9000](6)000013889000
[10:01:19:301]	CPUCard cmd: (5)0084000004 -> [9000](6)4CE4FB1A9000
[10:01:20:128]	send [EA] (54) 000000FFFF1102150A0115010A000000253200000000999899999999123400000002900000019090909804000188202002214CE4FB1A
[10:01:20:502]	recv [EA] (53) 1102150A0115010A0000002532000000000000999899999999000290000001909090980004202002214CE4FB1A6A02787C00000000
[10:01:21:079]	CPUCard cmd: (13)04D6951808202002216A02787C -> [9000](2)9000
[10:01:21:313]	send [EA] (57) 000000FFFF1102150A0117010A000000283300000000999899999999123400000002000000000000077890000001909090982F7AF871040001
